source,date,author,url,pick,team,player,position,school,conference,source-abb,last-name,draft-id
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,15,atlanta-falcons,Colston Loveland,TE,Alabama,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,16,arizona-cardinals,Tyler Booker,IOL,Alabama,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,17,cincinnati-bengals,Tyler Booker,IOL,Georgia,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,18,seattle-seahawks,Tetairoa McMillan,WR,Arizona,Big 12,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,19,tampa-bay-buccaneers,James Pearce Jr.,EDGE,Tennessee,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,20,denver-broncos,Omarion Hampton,RB,North Carolina,ACC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,21,pittsburgh-steelers,Maxwell Hairston,CB,Kentucky,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,22,los-angeles-chargers,Mykel Williams,EDGE,Georgia,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,23,green-bay-packers,Trey Amos,CB,Mississippi,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,24,minnesota-vikings,Trey Amos,CB,South Carolina,SEC,Pro Football Network,Weissman,Pro Football Network - Weissman!1
Pro Football Network,2025-03-29,Brentley Weissman,https://www.nflmockdraftdatabase.com/mock-drafts/2025/pro-football-network-2025-brentley-weissman?date=2025-03-29,25,houston-texans,Josh Simmons,OT,Ohio St.,Big Ten,Pro Football Network,Weissman,Pro Football Network - Weissman!1
